"Story","Title","Result","Date","Stability","Duration (s)"
"Buy Product","As a user, i have able to buy a product and add to chart","SUCCESS","2022-05-15T23:23:06.3767952+07:00[Asia/Bangkok]","0.0","30.43"
"Buy Product","As a user, i have not able to buy a product and add to chart","SUCCESS","2022-05-15T23:23:38.1345901+07:00[Asia/Bangkok]","0.0","0.19"
"Homepage","As a user, i can see details product and give rating","SUCCESS","2022-05-15T23:23:38.4233455+07:00[Asia/Bangkok]","0.0","9.91"
"Login","As a user, i have able to login","SUCCESS","2022-05-15T23:23:49.4130199+07:00[Asia/Bangkok]","0.0","7.17"
"Login","As a user, i have not able to login because password is wrong","SUCCESS","2022-05-15T23:23:57.5751729+07:00[Asia/Bangkok]","0.0","7.07"
"Login","As a user, i have not able to login because email is wrong","SUCCESS","2022-05-15T23:24:05.5730629+07:00[Asia/Bangkok]","0.0","6.27"
"Logout","As a user, i can logout of account","SUCCESS","2022-05-15T23:24:12.8147304+07:00[Asia/Bangkok]","0.0","13.62"
"Order","As a user, i have able to order and pay product","SUCCESS","2022-05-15T23:24:28.271128+07:00[Asia/Bangkok]","0.0","15.82"
"Register","As a user, i have able to create account","SUCCESS","2022-05-15T23:24:45.3372401+07:00[Asia/Bangkok]","0.0","8.93"
"Register","As a user, i have not able to create account","SUCCESS","2022-05-15T23:24:55.322238+07:00[Asia/Bangkok]","0.0","7.21"
"Register","As a user, i can short the price of product","SUCCESS","2022-05-15T23:25:03.6186138+07:00[Asia/Bangkok]","0.0","11.91"
