"Story","Title","Result","Date","Stability","Duration (s)"
"Buy Product","As a user, i have able to buy a product and add to chart","FAILURE","2022-05-20T22:59:00.4621666+07:00[Asia/Bangkok]","0.0","102.23"
"Buy Product","As a user, i have not able to buy a product and add to chart","SUCCESS","2022-05-20T23:00:44.3654733+07:00[Asia/Bangkok]","0.0","0.42"
"Homepage","As a user, i can see details product and give rating","SUCCESS","2022-05-20T23:00:44.8494985+07:00[Asia/Bangkok]","0.0","59.64"
"Login","As a user, i have able to login","ERROR","2022-05-20T23:01:45.5487033+07:00[Asia/Bangkok]","0.0","102.71"
"Login","As a user, i have not able to login because password is wrong","ERROR","2022-05-20T23:03:29.9502973+07:00[Asia/Bangkok]","0.0","63.96"
"Login","As a user, i have not able to login because email is wrong","ERROR","2022-05-20T23:04:35.7438124+07:00[Asia/Bangkok]","0.0","58.52"
"Logout","As a user, i can logout of account","ERROR","2022-05-20T23:05:35.4889523+07:00[Asia/Bangkok]","0.0","180.41"
"Order","As a user, i have able to order and pay product","FAILURE","2022-05-20T23:08:37.6469031+07:00[Asia/Bangkok]","0.0","85.55"
"Register","As a user, i have able to create account","SUCCESS","2022-05-20T23:10:05.0606097+07:00[Asia/Bangkok]","0.0","351.15"
"Register","As a user, i have not able to create account","ERROR","2022-05-20T23:15:57.7689688+07:00[Asia/Bangkok]","0.0","76.68"
"Register","As a user, i can short the price of product","SUCCESS","2022-05-20T23:17:15.8674538+07:00[Asia/Bangkok]","0.0","101.75"
